Início da Leitura : Um voo sobre as capitais brasileiras: Região Centro-Oeste
Page : 1 Time : 18/12/2022 15:21:14
Timestamp: 633924336,3966	 X: 329,773683467816 Y:80,1837432021672
Timestamp: 633924352,545	 X: 329,5305851813 Y:80,092793776094
Timestamp: 633924359,47	 X: 319,884276990846 Y:79,6308234953914
Timestamp: 633924384,5741	 X: 317,691669906713 Y:79,6966664003067
Timestamp: 633924392,7436	 X: 304,240487835246 Y:79,0893129469358
Timestamp: 633924403,2366	 X: 296,793067960056 Y:79,3050978160585
Timestamp: 633924415,4951	 X: 252,578414887231 Y:76,813858433514
Timestamp: 633924425,9071	 X: 244,558281217495 Y:81,1876105529904
Timestamp: 633924436,278	 X: 245,217124129767 Y:82,0349342848328
Timestamp: 633924447,5525	 X: 244,847352284748 Y:81,824384769737
Timestamp: 633924461,5063	 X: 243,923133973995 Y:81,344408350994
Timestamp: 633924469,7666	 X: 243,824052245792 Y:81,6806992657891
Timestamp: 633924480,9618	 X: 243,232367369465 Y:81,4488806554577
Timestamp: 633924492,655	 X: 227,006828336808 Y:76,3785060708254
Timestamp: 633924502,8808	 X: 215,408817250074 Y:75,0656670177606
Timestamp: 633924514,2321	 X: 207,039520158951 Y:74,0387202856854
Timestamp: 633924540,0422	 X: 194,196992341431 Y:71,9183989587117
Timestamp: 633924547,6882	 X: 178,856418811135 Y:72,4425865214227
Timestamp: 633924559,212	 X: 174,157706481445 Y:72,083210617411
Timestamp: 633924570,0268	 X: 166,809018156637 Y:67,7292494283888
Timestamp: 633924580,7414	 X: 165,762559251945 Y:67,0071709513003
Timestamp: 633924592,5834	 X: 165,215765789135 Y:68,9249221651768
Timestamp: 633924618,0797	 X: 165,354576651525 Y:68,9085150781312
Timestamp: 633924626,0131	 X: 166,542226034463 Y:72,5613811920974
Timestamp: 633924636,1671	 X: 166,711988281839 Y:72,3017683795068
Timestamp: 633924648,9937	 X: 166,696717227618 Y:72,1132984664768
Timestamp: 633924659,2091	 X: 166,786365024114 Y:71,8295770363967
Timestamp: 633924669,4195	 X: 166,703370774817 Y:72,0298400325445
Timestamp: 633924680,9863	 X: 166,602497336367 Y:72,1463253340759
Timestamp: 633924697,0247	 X: 167,508431822025 Y:72,6800801603979
Timestamp: 633924702,6375	 X: 169,025175263914 Y:73,5518315801152
Timestamp: 633924714,1634	 X: 169,207479474996 Y:72,7796915512797
Timestamp: 633924726,9865	 X: 171,57060084891 Y:72,3563594346226
Timestamp: 633924736,0081	 X: 192,75023466129 Y:73,8046694379252
Timestamp: 633924747,5224	 X: 197,0825935338 Y:74,0485181892455
Timestamp: 633924773,0281	 X: 203,380520719286 Y:73,5996377506216
Timestamp: 633924780,8471	 X: 213,639480488346 Y:77,6730380964729
Timestamp: 633924792,4715	 X: 217,167093668858 Y:79,1813178279562
Timestamp: 633924802,7129	 X: 218,023322058396 Y:79,9210855111478
Timestamp: 633924814,1226	 X: 221,207714767506 Y:81,1551006848003
Timestamp: 633924826,079	 X: 221,061817622253 Y:80,9878323332798
Timestamp: 633924851,3279	 X: 221,071796862244 Y:80,5020581759374
Timestamp: 633924859,5354	 X: 222,379046297376 Y:80,8142148252184
Timestamp: 633924869,8147	 X: 222,899304509422 Y:80,8473410531055
Timestamp: 633924882,965	 X: 223,235170268895 Y:82,2926027724432
Timestamp: 633924892,6217	 X: 223,326063374042 Y:82,3040322808709
Timestamp: 633924903,1276	 X: 223,463022241424 Y:82,1963954001229
Timestamp: 633924915,0145	 X: 223,414821724076 Y:81,8099158037263
Timestamp: 633924925,8511	 X: 223,962702795016 Y:80,3380470914058
Timestamp: 633924936,0653	 X: 223,856632418392 Y:80,0500868629212
Timestamp: 633924962,9123	 X: 224,403158695208 Y:79,1020426018677
Timestamp: 633924969,6493	 X: 223,715066631595 Y:79,8144193725186
Timestamp: 633924994,9089	 X: 223,614433538275 Y:80,3032841872933
Timestamp: 633925002,8075	 X: 223,862110108537 Y:81,0648380428584
Timestamp: 633925014,1419	 X: 223,951789449528 Y:81,4041040014691
Timestamp: 633925026,924	 X: 224,10997472001 Y:83,7229120865066
Timestamp: 633925036,0803	 X: 224,206031464518 Y:85,3735311294119
Timestamp: 633925047,6641	 X: 224,090252858291 Y:86,5363756426027
Timestamp: 633925072,9516	 X: 223,962481584465 Y:86,316556423243
Timestamp: 633925081,1447	 X: 224,067116329797 Y:86,1175044942109
Timestamp: 633925092,1087	 X: 224,354598059267 Y:86,3833680074809
Timestamp: 633925104,8788	 X: 224,238633339944 Y:86,4504798269006
Timestamp: 633925114,4136	 X: 224,000042552538 Y:86,3722121951445
Timestamp: 633925125,7054	 X: 222,641135484543 Y:87,705557620698
Timestamp: 633925152,0947	 X: 222,450264728023 Y:87,8834430230254
Timestamp: 633925159,0797	 X: 223,427167700577 Y:88,5307765499265
Timestamp: 633925183,1307	 X: 223,250504510348 Y:89,1141553154044
Timestamp: 633925192,3836	 X: 234,308466589613 Y:89,1033911817148
Timestamp: 633925202,7924	 X: 256,40940381336 Y:88,3642656189395
Timestamp: 633925215,0791	 X: 262,588770989595 Y:88,3001736800285
Timestamp: 633925225,534	 X: 270,351071212021 Y:87,8048376296379
Timestamp: 633925235,9623	 X: 279,107000989498 Y:86,9822595571926
Timestamp: 633925247,7946	 X: 287,663792007898 Y:86,3438944176482
Timestamp: 633925261,4566	 X: 292,785757781047 Y:85,8123895092509
Timestamp: 633925269,322	 X: 331,117094763826 Y:83,2572147004839
Timestamp: 633925281,2102	 X: 331,049903766285 Y:83,0103321364808
Timestamp: 633925293,1521	 X: 330,570127392101 Y:83,3405585063126
Timestamp: 633925302,8305	 X: 330,186835823611 Y:84,0475278297617
Timestamp: 633925314,3654	 X: 330,083475710966 Y:84,1235461005583
Timestamp: 633925325,7515	 X: 330,087301276662 Y:85,4149605033361
Timestamp: 633925339,7345	 X: 330,270938905422 Y:85,6909847449114
Timestamp: 633925347,9163	 X: 330,850824375238 Y:86,2054353342325
Timestamp: 633925359,2527	 X: 330,375672169186 Y:86,3301856392094
